"id","word","parent","year","type","word_type"
"apostle","apostle","apostleship","1200","4","noun"
"back[1]","back","backless","1200","4","noun"
"anvil","anvil","anvil","1200","4","noun"
"beam[1]","beam","beam","1200","4","noun"
"besom","besom","besom","1200","4","noun"
"byre","byre","byre","1200","4","noun"
"a[1]","a","A","1200","4","noun"
"bane[3]","bane","bane","1200","4","noun"
"atheling","atheling","atheling","1200","4","noun"
"beet","beet","beet","1200","4","noun"
"back[1]","back","behind","1200","4","noun"
"African[1]","African","African","1200","4","noun"
"bar[1]","bar","behind","1200","2","noun"
"bowl[1]","bowl","bowlful","1200","4","noun"
"canon[1]","canon","canon","1200","4","noun"
"Adonai","Adonai","Adonai","1200","4","noun"
"birch[1]","birch","birchen","1200","4","noun"
"Candlemas","Candlemas","Candlemas","1200","4","noun"
"androgyne","androgyne","androgyne","1200","2","noun"
"bear[1]","bear","bear","1200","4","noun"
"bast","bast","Bast","1200","4","noun"
"angel","angel","angelically","1200","4","noun"
"ape[1]","ape","ape","1200","4","noun"
"blaze[1]","blaze","blaze","1200","4","noun"
"anchor[1]","anchor","anchorless","1200","4","noun"
"time[1]","time","being","1200","4","noun"
"candlelight","candlelight","candlelight","1200","4","noun"
"band[1]","band","band","1200","2","noun"
"bower[1]","bower","bower","1200","4","noun"
"ass[1]","ass","arses","1200","4","noun"
"bean[1]","bean","bean","1200","4","noun"
"Cain","Cain","Cain","1200","4","noun"
"acre","acre","acre","1200","4","noun"
"one[2]","one","atone","1200","4","noun"
"bolster[1]","bolster","bolster","1200","4","noun"
"a[1]","a","aes","1200","4","noun"
"devil[1]","devil","between","1200","4","noun"
"line[1]","line","between","1200","4","noun"
"brother","brother","brother","1200","4","noun"
"Aries","Aries","Aries","1200","4","noun"
"behoof","behoof","behooves","1200","4","noun"
"awl","awl","awl","1200","4","noun"
"bourg","bourg","bourg","1200","2","noun"
"blessing","blessing","blessing","1200","4","noun"
"ax[1]","ax","axes","1200","4","noun"
"bind[2]","bind","bind","1200","4","noun"
"Angle","Angle","angle","1200","4","noun"
"ant[1]","ant","ant","1200","4","noun"
"boot[1]","boot","boots","1200","4","noun"
"alms","alms","almsgiving","1200","4","noun"
"alehouse","alehouse","alehouse","1200","4","noun"
"cardinal[1]","cardinal","cardinalship","1200","2","noun"
"broadax","broadax","broadax","1200","4","noun"
"eye[1]","eye","an","1200","4","noun"
"bishopric","bishopric","bishopric","1200","4","noun"
"arbalest","arbalest","arbalest","1200","4","noun"
"almsman","almsman","almsman","1200","4","noun"
"belief","belief","belief","1200","2","noun"
"altar","altar","altar","1200","4","noun"
"barrow[1]","barrow","barrow","1200","4","noun"
"belt[1]","belt","below","1200","4","noun"
"candle[1]","candle","candle","1200","4","noun"
"bone[1]","bone","boneless","1200","4","noun"
"Adam[1]","Adam","Adam","1200","4","noun"
"butter[1]","butter","butter","1200","4","noun"
"b[1]","b","B","1200","4","noun"
"breech","breech","breech","1200","4","noun"
"breastbone","breastbone","breastbone","1200","4","noun"
"back[1]","back","back","1200","4","noun"
"ash[2]","ash","ashless","1200","4","noun"
"bramble","bramble","brambly","1200","4","noun"
"alderman","alderman","alderman","1200","4","noun"
"bitch[1]","bitch","bitch","1200","4","noun"
"bread[1]","bread","bread","1200","4","noun"
"beech","beech","beech","1200","4","noun"
"brood[1]","brood","brood","1200","4","noun"
"archbishopric","archbishopric","archbishopric","1200","4","noun"
"box[2]","box","boxlike","1200","4","noun"
"cap[1]","cap","cap","1200","4","noun"
"blade[1]","blade","bladelike","1200","4","noun"
"bough","bough","bough","1200","4","noun"
"auger","auger","auger","1200","4","noun"
"door","door","atone","1200","4","noun"
"boat[1]","boat","boat","1200","4","noun"
"bird[1]","bird","bird","1200","4","noun"
"broom[1]","broom","broom","1200","4","noun"
"bee[1]","bee","beelike","1200","4","noun"
"awn","awn","awned","1200","2","noun"
"belly[1]","belly","belly","1200","4","noun"
"alb","alb","Alb","1200","4","noun"
"breech","breech","breeches","1200","4","noun"
"bird[1]","bird","birdlike","1200","4","noun"
"beard[1]","beard","beardless","1200","4","noun"
"archangel","archangel","archangel","1200","2","noun"
"bench[1]","bench","bench","1200","4","noun"
"balk[1]","balk","balk","1200","4","noun"
"canker[1]","canker","canker","1200","4","noun"
"archdeacon","archdeacon","archdeacon","1200","4","noun"
"better[4]","better","betters","1200","2","noun"
"box[2]","box","boxful","1200","4","noun"
"bill[1]","bill","Bill","1200","4","noun"
"bladder","bladder","bladder","1200","4","noun"
"brock","brock","brock","1200","4","noun"
"bowl[1]","bowl","bowls","1200","4","noun"
"bower[1]","bower","Bowery","1200","4","noun"
"borough","borough","borough","1200","4","noun"
"broadsword","broadsword","broadsword","1200","4","noun"
"ass[2]","ass","arse","1200","4","noun"
"April","April","April","1200","4","noun"
"brow[1]","brow","brow","1200","4","noun"
"answer[1]","answer","answer","1200","4","noun"
"abbot","abbot","abbot","1200","4","noun"
"better[4]","better","better","1200","2","noun"
"arm[1]","arm","arm","1200","4","noun"
"Angle","Angle","Angles","1200","4","noun"
"awn","awn","awn","1200","2","noun"
"acorn","acorn","acorn","1200","4","noun"
"bear[1]","bear","bearlike","1200","4","noun"
"bladder","bladder","bladderlike","1200","4","noun"
"time[1]","time","again","1200","4","noun"
"bottom[1]","bottom","bottom","1200","4","noun"
"bannock","bannock","Bannock","1200","4","noun"
"blossom[1]","blossom","blossom","1200","4","noun"
"bed[1]","bed","bed","1200","4","noun"
"bee[1]","bee","bees","1200","4","noun"
"bedding[1]","bedding","bedding","1200","4","noun"
"Adam[1]","Adam","Adamical","1200","4","noun"
"bone[1]","bone","boned","1200","4","noun"
"barrow[3]","barrow","barrow","1200","4","noun"
"bark[2]","bark","barkless","1200","4","noun"
"bottom[1]","bottom","bottomed","1200","4","noun"
"can[2]","can","canful","1200","4","noun"
"bride","bride","Bride","1200","4","noun"
"beetle[3]","beetle","beetle","1200","4","noun"
"lot[1]","lot","allover","1200","4","noun"
"birse","birse","birse","1200","4","noun"
"blossom[1]","blossom","blossomy","1200","4","noun"
"bairn","bairn","bairn","1200","4","noun"
"breast[1]","breast","breast","1200","4","noun"
"candlewick","candlewick","candlewick","1200","4","noun"
"bitter[2]","bitter","bitters","1200","4","noun"
"ait","ait","ait","1200","4","noun"
"Aaron","Aaron","Aaron","1200","4","noun"
"Antichrist","Antichrist","antichrist","1200","4","noun"
"bath[1]","bath","Bath","1200","4","noun"
"board[1]","board","bord","1200","4","noun"
"behoof","behoof","behoof","1200","4","noun"
"best[3]","best","best","1200","4","noun"
"calf[1]","calf","calf","1200","4","noun"
"blackberry","blackberry","blackberry","1200","4","noun"
"blower","blower","blower","1200","4","noun"
"barn","barn","barny","1200","4","noun"
"mast[1]","mast","before","1200","4","noun"
"brine[1]","brine","brine","1200","4","noun"
"bin[1]","bin","bin","1200","4","noun"
"wit[2]","wit","atone","1200","4","noun"
"alms","alms","alms","1200","4","noun"
"capon","capon","capon","1200","4","noun"
"ash[2]","ash","ash","1200","4","noun"
"cardinal[1]","cardinal","cardinal","1200","2","noun"
"archangel","archangel","archangelic","1200","2","noun"
"angel","angel","angel","1200","4","noun"
"bee[1]","bee","Bee","1200","4","noun"
"breath","breath","breath","1200","4","noun"
"elbow[1]","elbow","atone","1200","4","noun"
"canker[1]","canker","cankerous","1200","4","noun"
"bark[2]","bark","bark","1200","4","noun"
"beaver[1]","beaver","beaver","1200","4","noun"
"calf[1]","calf","calflike","1200","4","noun"
"ampulla","ampulla","ampullar","1200","4","noun"
"wind[1]","wind","before","1200","4","noun"
"canon[1]","canon","cannon","1200","4","noun"
"candlestick","candlestick","candlestick","1200","4","noun"
"bellows","bellows","bellows","1200","4","noun plural but singular or plural in construction"
"beestings","beestings","beestings","1200","4","noun plural but singular or plural in construction"
"at[1]","at","at","1200","4","preposition"
"but for","but for","but","1200","2","preposition"
"amid","amid","amidst","1200","4","preposition"
"by[1]","by","bye","1200","4","preposition"
"a[3]","a","A","1200","4","preposition"
"about[2]","about","about","1200","4","preposition"
"an[2]","an","an","1200","4","preposition"
"above[2]","above","above","1200","4","preposition"
"after[2]","after","after","1200","4","preposition"
"beneath[2]","beneath","beneath","1200","4","preposition"
"beyond[2]","beyond","beyond","1200","4","preposition"
"between[1]","between","between","1200","4","preposition"
"along of","along of","along","1200","4","preposition"
"ben[2]","ben","Ben","1200","4","preposition"
"but[2]","but","but","1200","4","preposition"
"before[2]","before","before","1200","4","preposition"
"behind[2]","behind","behind","1200","4","preposition"
"along[1]","along","along","1200","4","preposition"
"by[1]","by","by","1200","4","preposition"
"amid","amid","amid","1200","4","preposition"
"among","among","amongst","1200","4","preposition"
"among","among","among","1200","4","preposition"
"as[3]","as","As","1200","2","pronoun"
"anything[1]","anything","anything","1200","4","pronoun"
"aught[1]","aught","aught","1200","4","pronoun"
"both[1]","both","both","1200","2","pronoun, plural in construction"
"any[2]","any","any","1200","4","pronoun, singular or plural in construction"
"all[3]","all","and","1200","4","pronoun, singular or plural in construction"
"all[3]","all","all","1200","4","pronoun, singular or plural in construction"
"betide","betide","betide","1200","2","verb"
"bridle[2]","bridle","bridling","1200","4","verb"
"bed[2]","bed","bedding","1200","4","verb"
"better[2]","better","bettering","1200","4","verb"
"beat[1]","beat","beating","1200","4","verb"
"blind[2]","blind","blinded","1200","4","verb"
"bake[1]","bake","baking","1200","4","verb"
"backbite","backbite","backbiter","1200","2","verb"
"calve","calve","calve","1200","4","verb"
"make[1]","make","bold","1200","4","verb"
"call[1]","call","call","1200","4","verb"
"can[1]","can","canning","1200","4","verb"
"braid[1]","braid","braided","1200","4","verb"
"beat[1]","beat","Beata","1200","4","verb"
"bless","bless","blessing","1200","4","verb"
"beseech","beseech","beseeching","1200","2","verb"
"burn[2]","burn","both","1200","4","verb"
"blow[1]","blow","blow","1200","4","verb"
"come[1]","come","across","1200","4","verb"
"eat[1]","eat","alive","1200","4","verb"
"bell[3]","bell","belled","1200","4","verb"
"bestrew","bestrew","bestrew","1200","4","verb"
"ail[1]","ail","ailing","1200","4","verb"
"bow[4]","bow","bow","1200","4","verb"
"behoove","behoove","behoove","1200","4","verb"
"beseech","beseech","besought","1200","2","verb"
"belie","belie","belier","1200","4","verb"
"blow[3]","blow","blown","1200","4","verb"
"come[1]","come","again","1200","4","verb"
"care[2]","care","care","1200","4","verb"
"burn[2]","burn","burn","1200","4","verb"
"blind[2]","blind","blindingly","1200","4","verb"
"burn[2]","burn","candle","1200","4","verb"
"borrow","borrow","borrow","1200","4","verb"
"break[1]","break","broken","1200","4","verb"
"leave[1]","leave","alone","1200","4","verb"
"bleed[1]","bleed","bleed","1200","4","verb"
"blossom[2]","blossom","blossom","1200","4","verb"
"bring","bring","bring","1200","4","verb"
"let[1]","let","alone","1200","4","verb"
"aby","aby","aby","1200","4","verb"
"begird","begird","begird","1200","4","verb"
"abide","abide","abider","1200","4","verb"
"care[2]","care","careless","1200","4","verb"
"bow[1]","bow","bowed","1200","4","verb"
"braid[1]","braid","braiding","1200","4","verb"
"draw[1]","draw","bead","1200","4","verb"
"build[1]","build","build","1200","4","verb"
"blow[3]","blow","blowing","1200","4","verb"
"bereave","bereave","bereaven","1200","4","verb"
"take[1]","take","advantage","1200","4","verb"
"burn[2]","burn","burning","1200","4","verb"
"abide","abide","abiding","1200","4","verb"
"be","be","be","1200","4","verb"
"beat[1]","beat","beatable","1200","4","verb"
"beckon","beckon","beckoning","1200","4","verb"
"bridge[2]","bridge","bridged","1200","4","verb"
"bid[1]","bid","bidder","1200","4","verb"
"breed[1]","breed","breed","1200","4","verb"
"blow[1]","blow","blown","1200","4","verb"
"braid[1]","braid","braid","1200","4","verb"
"amaze[1]","amaze","amaze","1200","4","verb"
"let[3]","let","alone","1200","4","verb"
"bury","bury","burying","1200","4","verb"
"awaken","awaken","awakening","1200","4","verb"
"arise","arise","arose","1200","4","verb"
"bleed[1]","bleed","bleeding","1200","4","verb"
"brew[1]","brew","brewer","1200","4","verb"
"bide","bide","bider","1200","4","verb"
"bleat[1]","bleat","bleat","1200","4","verb"
"beset","beset","beset","1200","4","verb"
"bethink","bethink","bethink","1200","4","verb"
"buy[1]","buy","bought","1200","4","verb"
"abide","abide","abide","1200","4","verb"
"bestride","bestride","bestride","1200","4","verb"
"bridge[2]","bridge","bridging","1200","4","verb"
"beset","beset","besetting","1200","4","verb"
"befoul","befoul","befoul","1200","4","verb"
"beat[1]","beat","beaten","1200","4","verb"
"arm[2]","arm","arms","1200","2","verb"
"ask","ask","asker","1200","4","verb"
"bless","bless","blessed","1200","4","verb"
"blow[1]","blow","blowoff","1200","4","verb"
"bleach[1]","bleach","bleached","1200","4","verb"
"break out","break out","broke","1200","4","verb"
"bear[2]","bear","borne","1200","4","verb"
"care[2]","care","carer","1200","4","verb"
"awake[1]","awake","awoke","1200","4","verb"
"ache[1]","ache","aching","1200","4","verb"
"believe","believe","believing","1200","4","verb"
"begin","begin","begin","1200","4","verb"
"bake[1]","bake","baker","1200","4","verb"
"hold[1]","hold","breath","1200","4","verb"
"pull[1]","pull","aface","1200","4","verb"
"bereave","bereave","bereave","1200","4","verb"
"bend[1]","bend","bend","1200","4","verb"
"break[1]","break","broke","1200","4","verb"
"beckon","beckon","beckon","1200","4","verb"
"arise","arise","arisen","1200","4","verb"
"busy[2]","busy","busy","1200","4","verb"
"awake[1]","awake","awake","1200","4","verb"
"bridle[2]","bridle","bridled","1200","4","verb"
"be","be","are","1200","4","verb"
"amaze[1]","amaze","amazing","1200","4","verb"
"be","be","been","1200","4","verb"
"bite[1]","bite","biting","1200","4","verb"
"bite[1]","bite","bit","1200","4","verb"
"borrow","borrow","borrower","1200","4","verb"
"make[1]","make","aface","1200","4","verb"
"hope[1]","hope","against","1200","4","verb"
"abide","abide","abode","1200","4","verb"
"bode[1]","bode","bode","1200","4","verb"
"drop[2]","drop","behind","1200","4","verb"
"bid[1]","bid","bid","1200","4","verb"
"arm[2]","arm","arm","1200","2","verb"
"amaze[1]","amaze","amazedly","1200","4","verb"
"bellow","bellow","bellow","1200","4","verb"
"bear[2]","bear","bearing","1200","4","verb"
"blind[2]","blind","blinding","1200","4","verb"
"ask","ask","ask","1200","4","verb"
"answer[2]","answer","answer","1200","4","verb"
"bind[1]","bind","bound","1200","4","verb"
"begin","begin","begun","1200","4","verb"
"better[2]","better","betters","1200","4","verb"
"blaw","blaw","blaw","1200","4","verb"
"buy[1]","buy","buyer","1200","4","verb"
